is_canceled,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,stays_in_nights,prt
0,342,7,27,1,0,0,2,0,1,Direct,Direct,0,0,0,2,2,3,0,Transient,0.0,0,0,0,1
0,737,7,27,1,0,0,2,0,1,Direct,Direct,0,0,0,2,2,4,0,Transient,0.0,0,0,0,1
0,7,7,27,1,0,1,1,0,1,Direct,Direct,0,0,0,0,2,0,0,Transient,75.0,0,0,1,0
0,13,7,27,1,0,1,1,0,1,Corporate,Corporate,0,0,0,0,0,0,0,Transient,75.0,0,0,1,0
0,14,7,27,1,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,98.0,0,1,2,0
0,14,7,27,1,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,98.0,0,1,2,0
0,0,7,27,1,0,2,2,0,1,Direct,Direct,0,0,0,2,2,0,0,Transient,107.0,0,0,2,1
0,9,7,27,1,0,2,2,0,3,Direct,Direct,0,0,0,2,2,0,0,Transient,103.0,0,1,2,1
1,85,7,27,1,0,3,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,82.0,0,1,3,1
1,75,7,27,1,0,3,2,0,2,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,105.5,0,0,3,1
1,23,7,27,1,0,4,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,123.0,0,0,4,1
0,35,7,27,1,0,4,2,0,2,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,145.0,0,0,4,1
0,68,7,27,1,0,4,2,0,1,Online TA,TA/TO,0,0,0,3,4,0,0,Transient,97.0,0,3,4,0
0,18,7,27,1,0,4,2,0,2,Online TA,TA/TO,0,0,0,6,6,1,0,Transient,154.77,0,1,4,0
0,37,7,27,1,0,4,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,94.71,0,0,4,1
0,68,7,27,1,0,4,2,0,1,Online TA,TA/TO,0,0,0,3,4,0,0,Transient,97.0,0,3,4,0
0,37,7,27,1,0,4,2,0,1,Offline TA/TO,TA/TO,0,0,0,4,4,0,0,Contract,97.5,0,0,4,1
0,12,7,27,1,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,4,0,0,Transient,88.2,0,0,1,0
0,0,7,27,1,0,1,2,0,1,Corporate,Corporate,0,0,0,0,6,0,0,Transient,107.42,0,0,1,0
0,7,7,27,1,0,4,2,0,1,Direct,Direct,0,0,0,6,6,0,0,Transient,153.0,0,1,4,0
0,37,7,27,1,1,4,1,0,1,Online TA,TA/TO,0,0,0,5,5,0,0,Transient,97.29,0,1,5,0
0,72,7,27,1,2,4,2,0,1,Direct,Direct,0,0,0,0,0,1,0,Transient,84.67,0,1,6,1
0,72,7,27,1,2,4,2,0,1,Direct,Direct,0,0,0,0,0,1,0,Transient,84.67,0,1,6,1
0,72,7,27,1,2,4,2,0,1,Direct,Direct,0,0,0,3,3,1,0,Transient,99.67,0,1,6,1
0,127,7,27,1,2,5,2,0,2,Offline TA/TO,TA/TO,0,0,0,3,8,0,0,Contract,94.95,0,1,7,0
0,78,7,27,1,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,63.6,1,0,7,1
0,48,7,27,1,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,79.5,0,0,7,0
1,60,7,27,1,2,5,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,107.0,0,2,7,1
0,77,7,27,1,2,5,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,94.0,0,0,7,1
0,99,7,27,1,2,5,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,87.3,1,1,7,1
0,95,7,27,1,4,11,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,63.86,0,0,15,0
1,96,7,27,1,2,8,2,0,1,Direct,Direct,0,0,0,4,4,0,0,Transient,108.3,0,2,10,1
